"Source:","C:/Users/Grodt10921092!/Desktop/03_Electronics/interface/interface/interface.sch"
"Date:","05/08/18 09:45:51"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","68"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C3, ","2","0.33uF","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C4, C5, ","2","0.1uF","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C6, ","1","750p","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C8, C11, C1, ","3","0.1u","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C10, C12, ","2","1u","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C13, ","1","0.1","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"C14, ","1","10u","C","Capacitors_SMD:C_1206","Unpolarized capacitor",""
"F1, ","1","Fuse","Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_Schurter_0031_8201","Fuse, generic",""
"J1, ","1","Torque pedal","Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight","Generic connector, single row, 01x03",""
"J2, ","1","36V Supply","Conn_01x02","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight","Generic connector, single row, 01x02",""
"J3, ","1","DB9_Male_MountingHoles","DB9_Male_MountingHoles","Kart_interface:DMR-09-P","9-pin male D-SUB connector, Mounting Hole",""
"J4, ","1","Cur_Meas_Sig","Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight","Generic connector, single row, 01x03",""
"J5, ","1","Cur_Meas_Supply","Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight","Generic connector, single row, 01x03",""
"J6, ","1","Fan","Conn_01x02","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight","Generic connector, single row, 01x02",""
"J7, ","1","24V Supply","Conn_01x02","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight","Generic connector, single row, 01x02",""
"J8, ","1","PWM3","Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight","Generic connector, single row, 01x04",""
"J9, ","1","PWM2","Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight","Generic connector, single row, 01x04",""
"J10, ","1","PWM1","Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight","Generic connector, single row, 01x04",""
"R5, R6, R7, R8, R11, R12, R1, R2, R30, ","9","1k","R","Resistors_SMD:R_1206","Resistor",""
"R13, ","1","560","R","Resistors_SMD:R_1206","Resistor",""
"R14, R16, R19, ","3","3","R","Resistors_SMD:R_1206","Resistor",""
"R15, ","1","56","R","Resistors_SMD:R_1206","Resistor",""
"R21, R4, R25, R34, ","4","62k","R","Resistors_SMD:R_1206","Resistor",""
"R22, R3, R33, R36, ","4","11k","R","Resistors_SMD:R_1206","Resistor",""
"R26, R17, R9, R10, R29, R37, R23, R38, R24, ","9","10k","R","Resistors_SMD:R_1206","Resistor",""
"R28, ","1","4.7k","R","Resistors_SMD:R_1206","Resistor",""
"R31, R18, R20, ","3","2","R","Resistors_SMD:R_1206","Resistor",""
"R32, R27, R35, ","3","330","R","Resistors_SMD:R_1206","Resistor",""
"U1, ","1","ACPL-C870-000E","ACPL-C870-000E","Kart_interface:ACPL-C870-000E","",""
"U2, ","1","LM324","LM324","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",""
"U3, ","1","TRACO+/-15","TRACO+/-15","Converters_DCDC_ACDC:DCDC-Conv_TRACO_TEN10-XXXX_Dual","",""
"U4, ","1","L7805","L7805","TO_SOT_Packages_THT:TO-220-3_Horizontal","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",""
"U5, ","1","TS7812","L7805","TO_SOT_Packages_THT:TO-220-3_Horizontal","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",""
"U6, ","1","MicroCon_socket","F28075","Kart_interface:HSEC8-160-01-L-DV-A","",""
"U7, ","1","MIC5282-5.0YMME","MIC5282-5.0YMME","Kart_interface:8-Pin(ePad)MSOP","",""
